S.No.,Kult SKU Code,Category,Sub Category,Sub sub category,Brand,Product_name,Shade,L*,a*,b*,C*,h°,sR,sG,sB,Gloss
1,1LYl7iHnvGklgFxvUrrLx8,Makeup,Lip,Lipstick,Colorbar, Matte Me As I Am Lipcolor, 002 Sabotage
2,1VPj5b1ImKnH2JngjS4NDp,Makeup,Lip,Lipstick,KimChi Chic Beauty, Gloss Over Gloss,01 Ripe Mango
3,1WXLoNi0hbBQkrblynzmPC,Makeup,Lip,Lipstick,Sunnies Face,Fluffmatte,Pinks Soft Serve
4,1yvI8r9q70F9fRP6tH8r0s,Makeup,Lip,Lipstick,Revlon,Colorstay Overtime Lip Color,Non Stop Cherry
